TBLID,GEOID,NAME,ORDER,TITLE,estimate,moe,CME,SE,Var_Rep1,Var_Rep2,Var_Rep3,Var_Rep4,Var_Rep5,Var_Rep6,Var_Rep7,Var_Rep8,Var_Rep9,Var_Rep10,Var_Rep11,Var_Rep12,Var_Rep13,Var_Rep14,Var_Rep15,Var_Rep16,Var_Rep17,Var_Rep18,Var_Rep19,Var_Rep20,Var_Rep21,Var_Rep22,Var_Rep23,Var_Rep24,Var_Rep25,Var_Rep26,Var_Rep27,Var_Rep28,Var_Rep29,Var_Rep30,Var_Rep31,Var_Rep32,Var_Rep33,Var_Rep34,Var_Rep35,Var_Rep36,Var_Rep37,Var_Rep38,Var_Rep39,Var_Rep40,Var_Rep41,Var_Rep42,Var_Rep43,Var_Rep44,Var_Rep45,Var_Rep46,Var_Rep47,Var_Rep48,Var_Rep49,Var_Rep50,Var_Rep51,Var_Rep52,Var_Rep53,Var_Rep54,Var_Rep55,Var_Rep56,Var_Rep57,Var_Rep58,Var_Rep59,Var_Rep60,Var_Rep61,Var_Rep62,Var_Rep63,Var_Rep64,Var_Rep65,Var_Rep66,Var_Rep67,Var_Rep68,Var_Rep69,Var_Rep70,Var_Rep71,Var_Rep72,Var_Rep73,Var_Rep74,Var_Rep75,Var_Rep76,Var_Rep77,Var_Rep78,Var_Rep79,Var_Rep80
B19001,,,,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B19001,,,,Universe:  Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B19001,01000US,United States,1,Total:,118825921,229026,"+/-229,026",139225,118903051,118889592,118905376,118889381,118896949,118884282,118889077,118891080,118881591,118894854,118911883,118893744,118890558,118905967,118884440,118884384,118899544,118893196,118894264,118902162,118888840,118874664,118900412,118906045,118886157,118896224,118903204,118901593,118887436,118893509,118901561,118895586,118908209,118886807,118898612,118897209,118893373,118893049,118916260,118894768,118890774,118883574,118893960,118903565,118889705,118882057,118901830,118890156,118903906,118885204,118896221,118897111,118896260,118894387,118902911,118888726,118884933,118900832,118893254,118900409,118901232,118895305,118894827,118885537,118873320,118894624,118896396,118891100,118900250,118882580,118896965,118909225,118915961,118886745,118892395,118910418,118898035,118889688,118901556,118896749
B19001,01000US,United States,2,"Less than $10,000",7942251,17662,"+/-17,662",10737,7947131,7939797,7940458,7935285,7936316,7944845,7942954,7942681,7933266,7940823,7937751,7931177,7944650,7932795,7945290,7941744,7937724,7948741,7934486,7945380,7928929,7940464,7941380,7938239,7942917,7946330,7940951,7933431,7941487,7945593,7949691,7946078,7942259,7949622,7951529,7941936,7939599,7937453,7936502,7937707,7938351,7942732,7946236,7936642,7943599,7943629,7934287,7946912,7930301,7939318,7948218,7949336,7942563,7943873,7934002,7932432,7937763,7942034,7942261,7938296,7938055,7941155,7947918,7932997,7938294,7944102,7948004,7947135,7944253,7937610,7936880,7939616,7944919,7936129,7938589,7942106,7931527,7941768,7951035,7940870
B19001,01000US,United States,3,"$10,000 to $14,999",5768114,16409,"+/-16,409",9975,5767793,5771394,5765966,5765894,5770267,5759185,5757174,5771644,5765285,5772535,5766164,5772166,5770245,5773751,5762674,5767056,5775809,5767284,5766974,5769104,5761484,5767903,5767103,5770886,5768767,5753233,5764702,5772122,5774157,5775355,5765465,5768644,5764709,5766920,5769232,5766657,5775360,5771066,5760986,5774104,5774236,5765615,5768996,5762252,5772656,5776036,5770187,5765276,5766935,5772732,5765370,5765621,5761822,5767952,5773928,5764689,5772332,5766422,5768512,5761993,5769992,5769736,5759681,5771646,5768023,5771645,5766890,5758231,5767508,5764737,5778645,5769788,5768429,5765843,5761868,5754665,5774419,5769981,5763020,5774246
B19001,01000US,United States,4,"$15,000 to $19,999",5727180,16801,"+/-16,801",10213,5733718,5722926,5718443,5728392,5733420,5733969,5722348,5722920,5720309,5726584,5729171,5735669,5722325,5721883,5730171,5735774,5726633,5728941,5737252,5731126,5728677,5726279,5720404,5719439,5729839,5731609,5720150,5725381,5721877,5715525,5723324,5734390,5730422,5724030,5729456,5726838,5729915,5722199,5728674,5717216,5726816,5732070,5724904,5727979,5729780,5730474,5721661,5720384,5732696,5720826,5718537,5729114,5723916,5722359,5731622,5724428,5727832,5725886,5724471,5732966,5732624,5724162,5724494,5727180,5726899,5724474,5729707,5734841,5713515,5728476,5724386,5726665,5733084,5728016,5723107,5732806,5727032,5720968,5732669,5722820
B19001,01000US,United States,5,"$20,000 to $24,999",5910725,17864,"+/-17,864",10860,5913655,5904578,5912424,5912590,5905584,5907430,5913763,5912571,5907015,5903192,5914628,5903853,5910943,5916042,5909813,5908970,5907253,5908841,5916068,5910166,5915204,5908999,5908970,5906385,5906847,5908980,5912026,5922968,5911861,5909890,5902797,5913127,5908695,5914925,5918772,5903159,5914357,5916840,5925602,5908816,5915938,5896701,5910214,5906552,5905981,5911311,5919537,5908266,5904502,5916518,5904279,5912226,5910725,5908155,5917711,5908008,5920593,5916401,5919186,5916435,5913427,5916855,5912984,5909331,5908584,5906638,5912201,5907584,5913653,5905898,5910439,5915728,5921530,5913854,5911197,5914823,5896565,5915167,5914580,5918477
B19001,01000US,United States,6,"$25,000 to $29,999",5619002,16113,"+/-16,113",9795,5620944,5619209,5619735,5622877,5617609,5620789,5623380,5626248,5625514,5620982,5618032,5625537,5611168,5615996,5626084,5615713,5611992,5619337,5621844,5625408,5616255,5617874,5621908,5623052,5618854,5618946,5624353,5611273,5611684,5622593,5615494,5613800,5619345,5606855,5617353,5621537,5609146,5623195,5620320,5617065,5624475,5619514,5621985,5626663,5619537,5625538,5615885,5624079,5612116,5616007,5609758,5607244,5617597,5616112,5615967,5621222,5611208,5623649,5615606,5620877,5621072,5619178,5619878,5624073,5628059,5615281,5612506,5622549,5617945,5617898,5616189,5623396,5622701,5620332,5622363,5617253,5619061,5630177,5611937,5616960
B19001,01000US,United States,7,"$30,000 to $34,999",5711286,15891,"+/-15,891",9660,5711723,5706211,5698929,5718930,5712721,5718687,5712087,5707267,5712064,5705839,5717988,5707517,5705759,5714199,5716436,5703721,5711291,5710301,5702413,5713890,5715687,5705249,5718307,5713507,5709500,5709819,5705946,5707171,5708567,5710068,5718562,5705836,5709699,5715573,5716401,5713136,5713420,5703544,5716044,5711650,5709046,5718999,5710461,5709611,5715272,5711760,5708121,5705175,5714378,5709781,5710047,5705842,5710856,5722370,5714899,5708090,5715674,5718096,5707896,5707899,5705555,5705856,5718410,5705030,5706991,5703959,5707474,5711527,5711151,5716689,5712767,5712702,5715423,5713763,5711406,5714805,5720609,5706239,5713273,5717054
B19001,01000US,United States,8,"$35,000 to $39,999",5332778,16488,"+/-16,488",10023,5335921,5331746,5339884,5330815,5331101,5330901,5329483,5334145,5332606,5330824,5341534,5326826,5328825,5334944,5333907,5336462,5333247,5336632,5333267,5327776,5335500,5337003,5341405,5328377,5330962,5336428,5329481,5339387,5332130,5332954,5329874,5341629,5340673,5325478,5329161,5333919,5332219,5329088,5334096,5322989,5325313,5331021,5327880,5341696,5331910,5332152,5342679,5339006,5336415,5341085,5324917,5335888,5338121,5325261,5331603,5331689,5326454,5333164,5329003,5331595,5329509,5335399,5332904,5333316,5335219,5340741,5342262,5337039,5337896,5326165,5330708,5331466,5324041,5338324,5334169,5342365,5343135,5331498,5328856,5328251
